road_name_norm,road_from,road_to,zone,length_km_preferred,length_km_cs,length_km_traffic,start_e,start_n,end_e,end_n
dengolatgijet,Dengolat,Gijet,South Eastern Zone,25.96,25.96,25.96,534829.00,1470579.00,518860.00,1473300.00
maichewneqsege,Maichew,Neqsege,Southern and South Eastern Zone,34.45,34.45,34.45,557079.00,1409646.00,537006.00,1410895.00
adigudomdengolat,Adigudom,Dengolat,Southern and South Eastern Zone,362.34,362.34,362.34,555912.00,1469105.00,536615.00,1471670.00
hdmodebub,Hdmo,Debub,Southern and South Eastern Zone,12.82,12.82,12.82,555809.00,1461363.00,569442.00,1461363.00
alajebora,Alaje,Bora,Southern and South Eastern Zone,0.00,0.00,0.00,552773.00,1428544.00,536980.00,1425611.00
dengolatgjet,Dengolat,Gjet,Southern and South Eastern Zone,25.96,25.96,25.96,534829.00,1470579.00,518860.00,1473300.00
brkihykmeshal,Brki,Hykmeshal,Unknown,11.54,11.54,11.54,569713.00,1515082.00,576519.00,1521308.00
wukrotsgereda,Wukro,Tsgereda,Unknown,0.00,0.00,0.00,553738.00,1496250.00,537675.00,1522351.00
hykmeshalatsbi,Hykmeshal,Atsbi,Unknown,18.07,18.07,18.07,576519.00,1521308.00,580016.00,1534389.00
edagahamussewne,Edagahamus,Sewne,Eastern Zone,28.41,28.41,28.41,561460.00,1568267.00,577371.00,1579734.00
atsbiedagahamus,Atsbi,Edagahamus,Eastern Zone,0.00,0.00,0.00,580160.00,1534779.00,561449.00,1568266.00
birkihykimeshal,Birki,Hykimeshal,Eastern Zone,13.00,13.00,13.00,,,,
wukrotsigereda,Wukro,Tsigereda,Eastern Zone,32.00,32.00,32.00,,,,
haykmesahlatsibi,Haykmesahl,Atsibi,Eastern Zone,17.00,17.00,17.00,,,,
mugulatazeba,Mugulat,Azeba,Eastern Zone,21.19,21.19,21.19,541172.00,1573120.00,537291.00,1565209.00
axumchila,Axum,Chila,Central Zone,32.00,32.00,32.00,,,,
entchonebelet,Entcho,Nebelet,Central Zone,39.00,39.00,39.00,,,,
yehagendebta,Yeha,Gendebta,Central Zone,5.00,5.00,5.00,,,,
gendebtaferesmay,Gendebta,Feresmay,Central Zone,15.00,15.00,15.00,,,,
mariamshewitoahesea,Mariamshewito,Ahesea,Central Zone,19.00,19.00,19.00,,,,
axumdarohafash,Axum,Darohafash,Central Zone,26.00,26.00,26.00,,,,
axumadet,Axum,Adet,Central Zone,37.00,37.00,37.00,,,,
wukromaraychila,Wukromaray,Chila,Central Zone,23.00,23.00,23.00,,,,
axumchila,Axum,Chila,Central Zone,32.00,32.00,32.00,,,,
seleklekazana,Selekleka,Zana,Central Zone,22.00,22.00,22.00,,,,
axumchila,Axum,Chila,Central Zone,32.00,32.00,32.00,,,,
axumchila,Axum,Chila,Central Zone,32.00,32.00,32.00,,,,
axumchila,Axum,Chila,Central Zone,32.00,32.00,32.00,,,,
axumchila,Axum,Chila,Central Zone,32.00,32.00,32.00,,,,
axumchila,Axum,Chila,Central Zone,32.00,32.00,32.00,,,,
axumchila,Axum,Chila,Central Zone,32.00,32.00,32.00,,,,
beleskelakel,Beles,Kelakel,North Western Zone,8.65,8.65,8.65,,,,
endabagunaedagahbret,Endabaguna,Edagahbret,North Western Zone,42.00,42.00,42.00,,,,
dedebitsheraro,Dedebit,Sheraro,North Western Zone,33.00,33.00,33.00,,,,
edagahbretmili,Edagahbret,Mili,North Western Zone,28.00,28.00,28.00,,,,
maykuhiliatsirega,Maykuhili,Atsirega,North Western Zone,24.00,24.00,24.00,,,,
adidaerozelazl,Adidaero,Zelazl,North Western Zone,38.95,38.95,38.95,,,,
mayhanseadimahamiday,Mayhanse,Adimahamiday,North Western Zone,16.90,16.90,16.90,,,,
