road_name_norm,road_from,road_to,adt,Buses_avg,Cars_avg,Heavy Goods_avg,Light Goods_avg,Medium Goods_avg,Mini-buses_avg,Motor Cycle_avg,Tractors_avg
maichewneqsege,Maichew,Neqsege,44.400,0.000,0.000,0.000,13.400,7.000,10.800,13.200,0.000
adigudomdengolat,Adigudom,Dengolat,41.400,5.200,0.000,0.000,30.400,0.400,5.400,0.000,0.000
hdmodebub,Hdmo,Debub,65.000,17.200,0.400,1.200,18.800,13.800,0.200,13.400,0.000
alajebora,Alaje,Bora,28.000,2.400,0.000,0.000,15.000,0.800,3.000,6.800,0.000
dengolatgjet,Dengolat,Gjet,94.000,12.000,0.600,19.400,14.600,23.000,24.400,0.000,0.000
edagahamussewne,Edagahamus,Sewne,81.600,6.600,0.400,0.400,10.200,11.000,2.800,50.200,0.000
atsbiedagahamus,Atsbi,Edagahamus,43.200,4.600,3.000,2.600,7.200,11.000,0.000,14.800,0.000
birkihykimeshal,Birki,Hykimeshal,130.000,26.000,0.400,11.600,38.600,13.000,0.200,40.200,0.000
wukrotsigereda,Wukro,Tsigereda,77.600,37.800,0.200,4.200,11.800,14.200,0.400,9.000,0.000
haykmesahlatsibi,Haykmesahl,Atsibi,46.200,0.200,0.000,0.600,14.800,0.400,0.200,30.000,0.000
mugulatazeba,Mugulat,Azeba,19.600,3.800,0.000,0.000,6.400,9.400,0.000,0.000,0.000
axumchila,Axum,Chila,40.000,0.800,8.000,2.000,2.200,1.200,0.400,25.400,0.000
entchonebelet,Entcho,Nebelet,33.200,2.800,8.400,1.800,5.400,3.200,3.800,7.000,0.800
yehagendebta,Yeha,Gendebta,15.600,1.000,5.800,0.000,2.200,1.800,1.200,3.600,0.000
gendebtaferesmay,Gendebta,Feresmay,31.600,2.000,10.600,0.800,2.200,1.200,9.800,5.000,0.000
mariamshewitoahesea,Mariamshewito,Ahesea,33.600,6.600,16.400,0.800,0.800,1.000,2.200,5.800,0.000
axumdarohafash,Axum,Darohafash,29.400,4.800,10.200,0.800,1.200,0.800,6.600,5.000,0.000
axumadet,Axum,Adet,42.000,4.200,15.000,1.600,3.800,1.400,7.200,8.400,0.400
wukromaraychila,Wukromaray,Chila,46.200,3.800,7.400,5.800,1.200,1.600,3.000,23.400,0.000
seleklekazana,Selekleka,Zana,31.400,3.400,5.600,0.400,2.800,0.800,6.400,11.600,0.400
axumchila,Axum,Chila,40.000,0.800,8.000,2.000,2.200,1.200,0.400,25.400,0.000
axumchila,Axum,Chila,40.000,0.800,8.000,2.000,2.200,1.200,0.400,25.400,0.000
beleskelakel,Beles,Kelakel,14.400,3.600,4.000,0.000,1.400,0.800,1.000,3.600,0.000
endabagunaedagahbret,Endabaguna,Edagahbret,90.400,9.800,29.600,1.800,0.600,2.600,1.800,44.200,0.000
dedebitsheraro,Dedebit,Sheraro,23.000,3.800,3.000,1.400,0.000,0.800,0.000,14.000,0.000
edagahbretmili,Edagahbret,Mili,51.200,1.200,5.800,0.000,0.400,2.400,0.000,41.400,0.000
maykuhiliatsirega,Maykuhili,Atsirega,11.800,4.400,1.400,0.000,0.000,0.000,0.000,6.000,0.000
adidaerozelazl,Adidaero,Zelazl,35.200,7.400,9.000,0.800,0.800,1.400,1.400,14.400,0.000
mayhanseadimahamiday,Mayhanse,Adimahamiday,51.800,6.800,2.400,1.200,0.000,1.600,3.000,36.800,0.000
