road_name_norm,road_from,road_to,length_km_cs,start_e,start_n,end_e,end_n,zone,length_km_traffic,adt,length_km_preferred
Maichew-Neqsege,Maichew,Neqsege,32.5,557079.0,1409646.0,537006.0,1410895.0,Southern and South Eastern Zone,34.5,45.0,32.5
Alaje-Bora,Alaje,Bora,23.2,552773.0,1428544.0,536980.0,1425611.0,Southern and South Eastern Zone,24.0,28.0,23.2
Hdmo-Debub,Hdmo,Debub,27.4,555809.0,1461363.0,569442.0,1461363.0,Southern and South Eastern Zone,28.0,65.0,27.4
Adigudom-Dengolat,Adigudom,Dengolat,26.0,555912.0,1469105.0,536615.0,1471670.0,Southern and South Eastern Zone,26.0,42.0,26.0
Dengolat-Gjet,Dengolat,Gjet,25.1,534829.0,1470579.0,518860.0,1473300.0,Southern and South Eastern Zone,27.0,94.0,25.1
Wukro-Tsgereda,Wukro,Tsgereda,29.9,553738.0,1496250.0,537675.0,1522351.0,,,,29.9
Hykmeshal-Atsbi,Hykmeshal,Atsbi,17.0,576519.0,1521308.0,580016.0,1534389.0,,,,17.0
Brki-Hykmeshal,Brki,Hykmeshal,13.0,569713.0,1515082.0,576519.0,1521308.0,,,,13.0
Edagahamus-Sewne,Edagahamus,Sewne,27.27,561460.0,1568267.0,577371.0,1579734.0,Eastern Zone,28.0,82.0,27.27
Mugulat-Azeba,Mugulat,Azeba,20.4,541172.0,1573120.0,537291.0,1565209.0,Eastern Zone,20.56,20.0,20.4
Atsbi-Edagahamus,Atsbi,Edagahamus,51.9,580160.0,1534779.0,561449.0,1568266.0,Eastern Zone,54.0,43.0,51.9
Birki-Hykimeshal,Birki,Hykimeshal,,,,,,Eastern Zone,13.0,130.0,13.0
Wukro-Tsigereda,Wukro,Tsigereda,,,,,,Eastern Zone,32.0,78.0,32.0
Haykmesahl-Atsibi,Haykmesahl,Atsibi,,,,,,Eastern Zone,17.0,46.0,17.0
Entcho-Nebelet,Entcho,Nebelet,,,,,,Central Zone,39.0,33.0,39.0
Yeha-Gendebta,Yeha,Gendebta,,,,,,Central Zone,5.0,16.0,5.0
Gendebta-Feresmay,Gendebta,Feresmay,,,,,,Central Zone,15.0,32.0,15.0
Mariamshewito-Ahesea,Mariamshewito,Ahesea,,,,,,Central Zone,19.0,34.0,19.0
Axum-Darohafash,Axum,Darohafash,,,,,,Central Zone,26.0,30.0,26.0
Axum-Adet,Axum,Adet,,,,,,Central Zone,37.0,42.0,37.0
Wukromaray-Chila,Wukromaray,Chila,,,,,,Central Zone,23.0,46.0,23.0
Axum-Welel-Chila,Axum,Chila,,,,,,Central Zone,32.0,40.0,32.0
Selekleka-Zana,Selekleka,Zana,,,,,,Central Zone,22.0,32.0,22.0
Beles-Kelakel,Beles,Kelakel,,,,,,North Western Zone,8.65,15.0,8.65
Endabaguna-Edagahbret,Endabaguna,Edagahbret,,,,,,North Western Zone,42.0,90.0,42.0
Dedebit-Sheraro,Dedebit,Sheraro,,,,,,North Western Zone,33.0,23.0,33.0
Edagahbret-Mili,Edagahbret,Mili,,,,,,North Western Zone,28.0,51.0,28.0
Maykuhili-Atsirega,Maykuhili,Atsirega,,,,,,North Western Zone,24.0,12.0,24.0
Adidaero-Zelazl,Adidaero,Zelazl,,,,,,North Western Zone,38.95,35.0,38.95
Mayhanse-Adimahamiday,Mayhanse,Adimahamiday,,,,,,North Western Zone,16.9,52.0,16.9
