road_sheet,road_name_norm,station_km,asset,type_raw,length_m,depth_m,diameter_raw,easting,northing,spans,section_no,station_km_in_section
Adigudem_Dengolat,Adigudom-Dengolat,0.54,culvert,I,,,1Ø1.20,555400,1469039,,1,0.54
Adigudem_Dengolat,Adigudom-Dengolat,1.9,quarry_site,Quarry Site,,,,554148,1469088,,1,1.9
Adigudem_Dengolat,Adigudom-Dengolat,1.0,culvert,I,,,1Ø0.9,554964,1468993,,1,1.0
Adigudem_Dengolat,Adigudom-Dengolat,24.3,quarry_site,Quarry Site,,,,538131,1470910,,3,6.967000000000002
Adigudem_Dengolat,Adigudom-Dengolat,1.1,culvert,I,,,1Ø0.9,554862,1468978,,1,1.1
Adigudem_Dengolat,Adigudom-Dengolat,24.7,quarry_site,Quarry Site,,,,537622,1471196,,3,7.367000000000001
Adigudem_Dengolat,Adigudom-Dengolat,1.7,culvert,I,,,1Ø0.9,554271,1468917,,1,1.7
Adigudem_Dengolat,Adigudom-Dengolat,2.1,culvert,I,,,1Ø0.9,554072,1469309,,1,2.1
Adigudem_Dengolat,Adigudom-Dengolat,2.5,culvert,I,,,2Ø1.20,553968,1469647,,1,2.5
Adigudem_Dengolat,Adigudom-Dengolat,2.6,culvert,I,,,1Ø0.9,553871,1469720,,1,2.6
Adigudem_Dengolat,Adigudom-Dengolat,2.8,culvert,I,,,1Ø0.9,553787,1469892,,1,2.8
Adigudem_Dengolat,Adigudom-Dengolat,2.9,culvert,I,,,1Ø0.9,553689,1470061,,1,2.9
Adigudem_Dengolat,Adigudom-Dengolat,3.2,culvert,I,,,1Ø0.9,553717,1470216,,1,3.2
Adigudem_Dengolat,Adigudom-Dengolat,3.8,bridge,A,10.7,,,553593,1470655,1.0,1,3.8
Adigudem_Dengolat,Adigudom-Dengolat,3.9,culvert,I,,,1Ø0.9,553562,1470802,,1,3.9
Adigudem_Dengolat,Adigudom-Dengolat,4.3,other,M,,,,553198,1470989,,1,4.3
Adigudem_Dengolat,Adigudom-Dengolat,5.0,culvert,I,,,1Ø0.9,552586,1471248,,1,5.0
Adigudem_Dengolat,Adigudom-Dengolat,5.5,bridge,A,5.7,,,552274,1471510,1.0,1,5.5
Adigudem_Dengolat,Adigudom-Dengolat,6.5,culvert,I,,,2Ø0.9,551311,1471777,,1,6.5
Adigudem_Dengolat,Adigudom-Dengolat,6.9,bridge,A,9.55,,,550912,1471774,1.0,1,6.9
Adigudem_Dengolat,Adigudom-Dengolat,7.1,culvert,I,,,1Ø0.9,550851,1471714,,1,7.1
Adigudem_Dengolat,Adigudom-Dengolat,7.3,culvert,I,,,1Ø0.9,550582,1471806,,1,7.3
Adigudem_Dengolat,Adigudom-Dengolat,7.6,culvert,I,,,1Ø0.9,550356,1471909,,1,7.6
Adigudem_Dengolat,Adigudom-Dengolat,8.2,culvert,I,,,1Ø0.9,550040,1471514,,1,8.2
Adigudem_Dengolat,Adigudom-Dengolat,8.5,culvert,I,,,1Ø0.9,549830,1471272,,1,8.5
Adigudem_Dengolat,Adigudom-Dengolat,8.7,other,M,,,,549677,1471249,,2,0.032999999999999474
Adigudem_Dengolat,Adigudom-Dengolat,8.8,culvert,I,,,1Ø0.9,549564,1471185,,2,0.1330000000000009
Adigudem_Dengolat,Adigudom-Dengolat,9.2,culvert,I,,,1Ø0.9,549346,1471052,,2,0.5329999999999995
